"","Estado","Registros","Ano","Mês","Região"
"1","Acre",199,"2016","Novembro","Todas"
"2","Alagoas",660,"2016","Novembro","Todas"
"3","Amapá",155,"2016","Novembro","Todas"
"4","Amazonas",403,"2016","Novembro","Todas"
"5","Bahia",2501,"2016","Novembro","Todas"
"6","Ceará",2433,"2016","Novembro","Todas"
"7","Distrito Federal",1061,"2016","Novembro","Todas"
"8","Espírito Santo",1911,"2016","Novembro","Todas"
"9","Goiás",2103,"2016","Novembro","Todas"
"10","Maranhão",526,"2016","Novembro","Todas"
"11","Mato Grosso",1295,"2016","Novembro","Todas"
"12","Mato Grosso do Sul",1157,"2016","Novembro","Todas"
"13","Minas Gerais",10279,"2016","Novembro","Todas"
"14","Paraná",5722,"2016","Novembro","Todas"
"15","Paraíba",1566,"2016","Novembro","Todas"
"16","Pará",522,"2016","Novembro","Todas"
"17","Pernambuco",4154,"2016","Novembro","Todas"
"18","Piauí",673,"2016","Novembro","Todas"
"19","Rio Grande do Norte",856,"2016","Novembro","Todas"
"20","Rio Grande do Sul",2487,"2016","Novembro","Todas"
"21","Rio de Janeiro",2660,"2016","Novembro","Todas"
"22","Rondônia",662,"2016","Novembro","Todas"
"23","Roraima",151,"2016","Novembro","Todas"
"24","Santa Catarina",2722,"2016","Novembro","Todas"
"25","Sergipe",1075,"2016","Novembro","Todas"
"26","São Paulo",23226,"2016","Novembro","Todas"
"27","Tocantins",333,"2016","Novembro","Todas"
