"","Estado","Registros","Ano","Mês","Região"
"1","Acre",331,"2019","Abril","Todas"
"2","Alagoas",1336,"2019","Abril","Todas"
"3","Amapá",251,"2019","Abril","Todas"
"4","Amazonas",1205,"2019","Abril","Todas"
"5","Bahia",5172,"2019","Abril","Todas"
"6","Ceará",3955,"2019","Abril","Todas"
"7","Distrito Federal",1257,"2019","Abril","Todas"
"8","Espírito Santo",2025,"2019","Abril","Todas"
"9","Goiás",2773,"2019","Abril","Todas"
"10","Maranhão",1836,"2019","Abril","Todas"
"11","Mato Grosso",1131,"2019","Abril","Todas"
"12","Mato Grosso do Sul",1297,"2019","Abril","Todas"
"13","Minas Gerais",10637,"2019","Abril","Todas"
"14","Paraná",5697,"2019","Abril","Todas"
"15","Paraíba",2392,"2019","Abril","Todas"
"16","Pará",2305,"2019","Abril","Todas"
"17","Pernambuco",5268,"2019","Abril","Todas"
"18","Piauí",1290,"2019","Abril","Todas"
"19","Rio Grande do Norte",1468,"2019","Abril","Todas"
"20","Rio Grande do Sul",6868,"2019","Abril","Todas"
"21","Rio de Janeiro",11936,"2019","Abril","Todas"
"22","Rondônia",768,"2019","Abril","Todas"
"23","Roraima",190,"2019","Abril","Todas"
"24","Santa Catarina",3287,"2019","Abril","Todas"
"25","Sergipe",1088,"2019","Abril","Todas"
"26","São Paulo",25451,"2019","Abril","Todas"
"27","Tocantins",494,"2019","Abril","Todas"
