"","Estado","Registros","Ano","Mês","Região"
"1","Acre",182,"2016","Julho","Todas"
"2","Alagoas",926,"2016","Julho","Todas"
"3","Amapá",157,"2016","Julho","Todas"
"4","Amazonas",470,"2016","Julho","Todas"
"5","Bahia",2330,"2016","Julho","Todas"
"6","Ceará",2425,"2016","Julho","Todas"
"7","Distrito Federal",1214,"2016","Julho","Todas"
"8","Espírito Santo",2057,"2016","Julho","Todas"
"9","Goiás",2035,"2016","Julho","Todas"
"10","Maranhão",515,"2016","Julho","Todas"
"11","Mato Grosso",1136,"2016","Julho","Todas"
"12","Mato Grosso do Sul",1325,"2016","Julho","Todas"
"13","Minas Gerais",12068,"2016","Julho","Todas"
"14","Paraná",6953,"2016","Julho","Todas"
"15","Paraíba",1535,"2016","Julho","Todas"
"16","Pará",1015,"2016","Julho","Todas"
"17","Pernambuco",4542,"2016","Julho","Todas"
"18","Piauí",560,"2016","Julho","Todas"
"19","Rio Grande do Norte",677,"2016","Julho","Todas"
"20","Rio Grande do Sul",3160,"2016","Julho","Todas"
"21","Rio de Janeiro",1636,"2016","Julho","Todas"
"22","Rondônia",680,"2016","Julho","Todas"
"23","Roraima",184,"2016","Julho","Todas"
"24","Santa Catarina",3116,"2016","Julho","Todas"
"25","Sergipe",1160,"2016","Julho","Todas"
"26","São Paulo",26869,"2016","Julho","Todas"
"27","Tocantins",297,"2016","Julho","Todas"
