"","Estado","Registros","Ano","Mês","Região"
"1","Acre",408,"2018","Março","Todas"
"2","Alagoas",978,"2018","Março","Todas"
"3","Amapá",152,"2018","Março","Todas"
"4","Amazonas",571,"2018","Março","Todas"
"5","Bahia",4370,"2018","Março","Todas"
"6","Ceará",3439,"2018","Março","Todas"
"7","Distrito Federal",1328,"2018","Março","Todas"
"8","Espírito Santo",1939,"2018","Março","Todas"
"9","Goiás",2494,"2018","Março","Todas"
"10","Maranhão",932,"2018","Março","Todas"
"11","Mato Grosso",1468,"2018","Março","Todas"
"12","Mato Grosso do Sul",1272,"2018","Março","Todas"
"13","Minas Gerais",10533,"2018","Março","Todas"
"14","Paraná",5972,"2018","Março","Todas"
"15","Paraíba",2038,"2018","Março","Todas"
"16","Pará",934,"2018","Março","Todas"
"17","Pernambuco",4652,"2018","Março","Todas"
"18","Piauí",738,"2018","Março","Todas"
"19","Rio Grande do Norte",1217,"2018","Março","Todas"
"20","Rio Grande do Sul",5411,"2018","Março","Todas"
"21","Rio de Janeiro",1740,"2018","Março","Todas"
"22","Rondônia",682,"2018","Março","Todas"
"23","Roraima",178,"2018","Março","Todas"
"24","Santa Catarina",2875,"2018","Março","Todas"
"25","Sergipe",1019,"2018","Março","Todas"
"26","São Paulo",23683,"2018","Março","Todas"
"27","Tocantins",496,"2018","Março","Todas"
