"","Estado","Registros","Ano","Mês","Região"
"1","Acre",212,"2015","Agosto","Todas"
"2","Alagoas",397,"2015","Agosto","Todas"
"3","Amapá",163,"2015","Agosto","Todas"
"4","Amazonas",130,"2015","Agosto","Todas"
"5","Bahia",1943,"2015","Agosto","Todas"
"6","Ceará",680,"2015","Agosto","Todas"
"7","Distrito Federal",1158,"2015","Agosto","Todas"
"8","Espírito Santo",1941,"2015","Agosto","Todas"
"9","Goiás",1925,"2015","Agosto","Todas"
"10","Maranhão",130,"2015","Agosto","Todas"
"11","Mato Grosso",1259,"2015","Agosto","Todas"
"12","Mato Grosso do Sul",667,"2015","Agosto","Todas"
"13","Minas Gerais",10036,"2015","Agosto","Todas"
"14","Paraná",6414,"2015","Agosto","Todas"
"15","Paraíba",1517,"2015","Agosto","Todas"
"16","Pará",303,"2015","Agosto","Todas"
"17","Pernambuco",4467,"2015","Agosto","Todas"
"18","Piauí",217,"2015","Agosto","Todas"
"19","Rio Grande do Norte",255,"2015","Agosto","Todas"
"20","Rio Grande do Sul",2866,"2015","Agosto","Todas"
"21","Rio de Janeiro",801,"2015","Agosto","Todas"
"22","Rondônia",450,"2015","Agosto","Todas"
"23","Roraima",80,"2015","Agosto","Todas"
"24","Santa Catarina",2578,"2015","Agosto","Todas"
"25","Sergipe",900,"2015","Agosto","Todas"
"26","São Paulo",23202,"2015","Agosto","Todas"
"27","Tocantins",221,"2015","Agosto","Todas"
