"","Estado","Registros","Ano","Mês","Região"
"1","Acre",267,"2017","Janeiro","Todas"
"2","Alagoas",987,"2017","Janeiro","Todas"
"3","Amapá",180,"2017","Janeiro","Todas"
"4","Amazonas",192,"2017","Janeiro","Todas"
"5","Bahia",2987,"2017","Janeiro","Todas"
"6","Ceará",2737,"2017","Janeiro","Todas"
"7","Distrito Federal",1180,"2017","Janeiro","Todas"
"8","Espírito Santo",2003,"2017","Janeiro","Todas"
"9","Goiás",2435,"2017","Janeiro","Todas"
"10","Maranhão",517,"2017","Janeiro","Todas"
"11","Mato Grosso",1387,"2017","Janeiro","Todas"
"12","Mato Grosso do Sul",1177,"2017","Janeiro","Todas"
"13","Minas Gerais",11352,"2017","Janeiro","Todas"
"14","Paraná",5874,"2017","Janeiro","Todas"
"15","Paraíba",1886,"2017","Janeiro","Todas"
"16","Pará",931,"2017","Janeiro","Todas"
"17","Pernambuco",4592,"2017","Janeiro","Todas"
"18","Piauí",413,"2017","Janeiro","Todas"
"19","Rio Grande do Norte",835,"2017","Janeiro","Todas"
"20","Rio Grande do Sul",3152,"2017","Janeiro","Todas"
"21","Rio de Janeiro",1249,"2017","Janeiro","Todas"
"22","Rondônia",623,"2017","Janeiro","Todas"
"23","Roraima",156,"2017","Janeiro","Todas"
"24","Santa Catarina",2924,"2017","Janeiro","Todas"
"25","Sergipe",996,"2017","Janeiro","Todas"
"26","São Paulo",23814,"2017","Janeiro","Todas"
"27","Tocantins",391,"2017","Janeiro","Todas"
