"","Estado","Registros","Ano","Mês","Região"
"1","Acre",223,"2016","Junho","Todas"
"2","Alagoas",915,"2016","Junho","Todas"
"3","Amapá",194,"2016","Junho","Todas"
"4","Amazonas",358,"2016","Junho","Todas"
"5","Bahia",2524,"2016","Junho","Todas"
"6","Ceará",2514,"2016","Junho","Todas"
"7","Distrito Federal",1030,"2016","Junho","Todas"
"8","Espírito Santo",1990,"2016","Junho","Todas"
"9","Goiás",2042,"2016","Junho","Todas"
"10","Maranhão",411,"2016","Junho","Todas"
"11","Mato Grosso",1049,"2016","Junho","Todas"
"12","Mato Grosso do Sul",1431,"2016","Junho","Todas"
"13","Minas Gerais",12148,"2016","Junho","Todas"
"14","Paraná",7369,"2016","Junho","Todas"
"15","Paraíba",1919,"2016","Junho","Todas"
"16","Pará",986,"2016","Junho","Todas"
"17","Pernambuco",4687,"2016","Junho","Todas"
"18","Piauí",536,"2016","Junho","Todas"
"19","Rio Grande do Norte",625,"2016","Junho","Todas"
"20","Rio Grande do Sul",3405,"2016","Junho","Todas"
"21","Rio de Janeiro",1528,"2016","Junho","Todas"
"22","Rondônia",512,"2016","Junho","Todas"
"23","Roraima",168,"2016","Junho","Todas"
"24","Santa Catarina",3090,"2016","Junho","Todas"
"25","Sergipe",1010,"2016","Junho","Todas"
"26","São Paulo",28838,"2016","Junho","Todas"
"27","Tocantins",368,"2016","Junho","Todas"
