"","Estado","Registros","Ano","Mês","Região"
"1","Acre",279,"2018","Dezembro","Todas"
"2","Alagoas",908,"2018","Dezembro","Todas"
"3","Amapá",171,"2018","Dezembro","Todas"
"4","Amazonas",885,"2018","Dezembro","Todas"
"5","Bahia",4367,"2018","Dezembro","Todas"
"6","Ceará",3039,"2018","Dezembro","Todas"
"7","Distrito Federal",1203,"2018","Dezembro","Todas"
"8","Espírito Santo",1924,"2018","Dezembro","Todas"
"9","Goiás",2416,"2018","Dezembro","Todas"
"10","Maranhão",1219,"2018","Dezembro","Todas"
"11","Mato Grosso",1086,"2018","Dezembro","Todas"
"12","Mato Grosso do Sul",1251,"2018","Dezembro","Todas"
"13","Minas Gerais",9198,"2018","Dezembro","Todas"
"14","Paraná",5495,"2018","Dezembro","Todas"
"15","Paraíba",1822,"2018","Dezembro","Todas"
"16","Pará",1603,"2018","Dezembro","Todas"
"17","Pernambuco",4610,"2018","Dezembro","Todas"
"18","Piauí",860,"2018","Dezembro","Todas"
"19","Rio Grande do Norte",1114,"2018","Dezembro","Todas"
"20","Rio Grande do Sul",5508,"2018","Dezembro","Todas"
"21","Rio de Janeiro",9861,"2018","Dezembro","Todas"
"22","Rondônia",693,"2018","Dezembro","Todas"
"23","Roraima",143,"2018","Dezembro","Todas"
"24","Santa Catarina",2919,"2018","Dezembro","Todas"
"25","Sergipe",917,"2018","Dezembro","Todas"
"26","São Paulo",23683,"2018","Dezembro","Todas"
"27","Tocantins",455,"2018","Dezembro","Todas"
