"","Estado","Registros","Ano","Mês","Região"
"1","Acre",226,"2016","Setembro","Todas"
"2","Alagoas",762,"2016","Setembro","Todas"
"3","Amapá",161,"2016","Setembro","Todas"
"4","Amazonas",134,"2016","Setembro","Todas"
"5","Bahia",2435,"2016","Setembro","Todas"
"6","Ceará",2331,"2016","Setembro","Todas"
"7","Distrito Federal",1165,"2016","Setembro","Todas"
"8","Espírito Santo",1852,"2016","Setembro","Todas"
"9","Goiás",2113,"2016","Setembro","Todas"
"10","Maranhão",454,"2016","Setembro","Todas"
"11","Mato Grosso",1328,"2016","Setembro","Todas"
"12","Mato Grosso do Sul",1248,"2016","Setembro","Todas"
"13","Minas Gerais",10855,"2016","Setembro","Todas"
"14","Paraná",6179,"2016","Setembro","Todas"
"15","Paraíba",1570,"2016","Setembro","Todas"
"16","Pará",510,"2016","Setembro","Todas"
"17","Pernambuco",4505,"2016","Setembro","Todas"
"18","Piauí",632,"2016","Setembro","Todas"
"19","Rio Grande do Norte",736,"2016","Setembro","Todas"
"20","Rio Grande do Sul",2931,"2016","Setembro","Todas"
"21","Rio de Janeiro",4841,"2016","Setembro","Todas"
"22","Rondônia",402,"2016","Setembro","Todas"
"23","Roraima",140,"2016","Setembro","Todas"
"24","Santa Catarina",2879,"2016","Setembro","Todas"
"25","Sergipe",981,"2016","Setembro","Todas"
"26","São Paulo",24701,"2016","Setembro","Todas"
"27","Tocantins",356,"2016","Setembro","Todas"
