"","Estado","Registros","Ano","Mês","Região"
"1","Acre",311,"2018","Janeiro","Todas"
"2","Alagoas",928,"2018","Janeiro","Todas"
"3","Amapá",166,"2018","Janeiro","Todas"
"4","Amazonas",592,"2018","Janeiro","Todas"
"5","Bahia",4146,"2018","Janeiro","Todas"
"6","Ceará",3398,"2018","Janeiro","Todas"
"7","Distrito Federal",1131,"2018","Janeiro","Todas"
"8","Espírito Santo",2016,"2018","Janeiro","Todas"
"9","Goiás",2625,"2018","Janeiro","Todas"
"10","Maranhão",969,"2018","Janeiro","Todas"
"11","Mato Grosso",1462,"2018","Janeiro","Todas"
"12","Mato Grosso do Sul",1220,"2018","Janeiro","Todas"
"13","Minas Gerais",11728,"2018","Janeiro","Todas"
"14","Paraná",6030,"2018","Janeiro","Todas"
"15","Paraíba",2176,"2018","Janeiro","Todas"
"16","Pará",1204,"2018","Janeiro","Todas"
"17","Pernambuco",5165,"2018","Janeiro","Todas"
"18","Piauí",944,"2018","Janeiro","Todas"
"19","Rio Grande do Norte",1225,"2018","Janeiro","Todas"
"20","Rio Grande do Sul",5666,"2018","Janeiro","Todas"
"21","Rio de Janeiro",2183,"2018","Janeiro","Todas"
"22","Rondônia",736,"2018","Janeiro","Todas"
"23","Roraima",167,"2018","Janeiro","Todas"
"24","Santa Catarina",3269,"2018","Janeiro","Todas"
"25","Sergipe",1087,"2018","Janeiro","Todas"
"26","São Paulo",25080,"2018","Janeiro","Todas"
"27","Tocantins",532,"2018","Janeiro","Todas"
