"","Estado","Registros","Ano","Mês","Região"
"1","Acre",3909,"2018","Todos","Todas"
"2","Alagoas",13579,"2018","Todos","Todas"
"3","Amapá",2143,"2018","Todos","Todas"
"4","Amazonas",6667,"2018","Todos","Todas"
"5","Bahia",56830,"2018","Todos","Todas"
"6","Ceará",40401,"2018","Todos","Todas"
"7","Distrito Federal",14352,"2018","Todos","Todas"
"8","Espírito Santo",23778,"2018","Todos","Todas"
"9","Goiás",30616,"2018","Todos","Todas"
"10","Maranhão",13849,"2018","Todos","Todas"
"11","Mato Grosso",15325,"2018","Todos","Todas"
"12","Mato Grosso do Sul",15498,"2018","Todos","Todas"
"13","Minas Gerais",128506,"2018","Todos","Todas"
"14","Paraná",73038,"2018","Todos","Todas"
"15","Paraíba",25721,"2018","Todos","Todas"
"16","Pará",16338,"2018","Todos","Todas"
"17","Pernambuco",59449,"2018","Todos","Todas"
"18","Piauí",10585,"2018","Todos","Todas"
"19","Rio Grande do Norte",13678,"2018","Todos","Todas"
"20","Rio Grande do Sul",73576,"2018","Todos","Todas"
"21","Rio de Janeiro",66227,"2018","Todos","Todas"
"22","Rondônia",7729,"2018","Todos","Todas"
"23","Roraima",2316,"2018","Todos","Todas"
"24","Santa Catarina",40128,"2018","Todos","Todas"
"25","Sergipe",12603,"2018","Todos","Todas"
"26","São Paulo",302907,"2018","Todos","Todas"
"27","Tocantins",5978,"2018","Todos","Todas"
