"","Estado","Registros","Ano","Mês","Região"
"1","Acre",3811,"2017","Todos","Todas"
"2","Alagoas",12466,"2017","Todos","Todas"
"3","Amapá",2535,"2017","Todos","Todas"
"4","Amazonas",4920,"2017","Todos","Todas"
"5","Bahia",41374,"2017","Todos","Todas"
"6","Ceará",37954,"2017","Todos","Todas"
"7","Distrito Federal",14399,"2017","Todos","Todas"
"8","Espírito Santo",24445,"2017","Todos","Todas"
"9","Goiás",29385,"2017","Todos","Todas"
"10","Maranhão",6105,"2017","Todos","Todas"
"11","Mato Grosso",16378,"2017","Todos","Todas"
"12","Mato Grosso do Sul",14759,"2017","Todos","Todas"
"13","Minas Gerais",136772,"2017","Todos","Todas"
"14","Paraná",72360,"2017","Todos","Todas"
"15","Paraíba",22914,"2017","Todos","Todas"
"16","Pará",11222,"2017","Todos","Todas"
"17","Pernambuco",58658,"2017","Todos","Todas"
"18","Piauí",5797,"2017","Todos","Todas"
"19","Rio Grande do Norte",11470,"2017","Todos","Todas"
"20","Rio Grande do Sul",54453,"2017","Todos","Todas"
"21","Rio de Janeiro",33287,"2017","Todos","Todas"
"22","Rondônia",7354,"2017","Todos","Todas"
"23","Roraima",1735,"2017","Todos","Todas"
"24","Santa Catarina",36364,"2017","Todos","Todas"
"25","Sergipe",12791,"2017","Todos","Todas"
"26","São Paulo",299530,"2017","Todos","Todas"
"27","Tocantins",5030,"2017","Todos","Todas"
