"","Estado","Registros","Ano","Mês","Região"
"1","Acre",3804,"2019","Todos","Todas"
"2","Alagoas",16583,"2019","Todos","Todas"
"3","Amapá",2521,"2019","Todos","Todas"
"4","Amazonas",13976,"2019","Todos","Todas"
"5","Bahia",64766,"2019","Todos","Todas"
"6","Ceará",41199,"2019","Todos","Todas"
"7","Distrito Federal",14863,"2019","Todos","Todas"
"8","Espírito Santo",24756,"2019","Todos","Todas"
"9","Goiás",32234,"2019","Todos","Todas"
"10","Maranhão",20374,"2019","Todos","Todas"
"11","Mato Grosso",13510,"2019","Todos","Todas"
"12","Mato Grosso do Sul",16124,"2019","Todos","Todas"
"13","Minas Gerais",123437,"2019","Todos","Todas"
"14","Paraná",69982,"2019","Todos","Todas"
"15","Paraíba",27012,"2019","Todos","Todas"
"16","Pará",25578,"2019","Todos","Todas"
"17","Pernambuco",61664,"2019","Todos","Todas"
"18","Piauí",14581,"2019","Todos","Todas"
"19","Rio Grande do Norte",16488,"2019","Todos","Todas"
"20","Rio Grande do Sul",89448,"2019","Todos","Todas"
"21","Rio de Janeiro",137615,"2019","Todos","Todas"
"22","Rondônia",7856,"2019","Todos","Todas"
"23","Roraima",2303,"2019","Todos","Todas"
"24","Santa Catarina",41513,"2019","Todos","Todas"
"25","Sergipe",12616,"2019","Todos","Todas"
"26","São Paulo",311562,"2019","Todos","Todas"
"27","Tocantins",5961,"2019","Todos","Todas"
