"","Estado","Registros","Ano","Mês","Região"
"1","Acre",316,"2019","Maio","Todas"
"2","Alagoas",1597,"2019","Maio","Todas"
"3","Amapá",211,"2019","Maio","Todas"
"4","Amazonas",1186,"2019","Maio","Todas"
"5","Bahia",5720,"2019","Maio","Todas"
"6","Ceará",3784,"2019","Maio","Todas"
"7","Distrito Federal",1294,"2019","Maio","Todas"
"8","Espírito Santo",2142,"2019","Maio","Todas"
"9","Goiás",2771,"2019","Maio","Todas"
"10","Maranhão",1997,"2019","Maio","Todas"
"11","Mato Grosso",1180,"2019","Maio","Todas"
"12","Mato Grosso do Sul",1392,"2019","Maio","Todas"
"13","Minas Gerais",11339,"2019","Maio","Todas"
"14","Paraná",6157,"2019","Maio","Todas"
"15","Paraíba",2483,"2019","Maio","Todas"
"16","Pará",2516,"2019","Maio","Todas"
"17","Pernambuco",5432,"2019","Maio","Todas"
"18","Piauí",1444,"2019","Maio","Todas"
"19","Rio Grande do Norte",1586,"2019","Maio","Todas"
"20","Rio Grande do Sul",7345,"2019","Maio","Todas"
"21","Rio de Janeiro",13124,"2019","Maio","Todas"
"22","Rondônia",747,"2019","Maio","Todas"
"23","Roraima",204,"2019","Maio","Todas"
"24","Santa Catarina",3427,"2019","Maio","Todas"
"25","Sergipe",1136,"2019","Maio","Todas"
"26","São Paulo",27803,"2019","Maio","Todas"
"27","Tocantins",540,"2019","Maio","Todas"
