"","Estado","Registros","Ano","Mês","Região"
"1","Acre",150,"2015","Dezembro","Todas"
"2","Alagoas",827,"2015","Dezembro","Todas"
"3","Amapá",177,"2015","Dezembro","Todas"
"4","Amazonas",464,"2015","Dezembro","Todas"
"5","Bahia",2614,"2015","Dezembro","Todas"
"6","Ceará",852,"2015","Dezembro","Todas"
"7","Distrito Federal",958,"2015","Dezembro","Todas"
"8","Espírito Santo",1796,"2015","Dezembro","Todas"
"9","Goiás",1769,"2015","Dezembro","Todas"
"10","Maranhão",211,"2015","Dezembro","Todas"
"11","Mato Grosso",1332,"2015","Dezembro","Todas"
"12","Mato Grosso do Sul",762,"2015","Dezembro","Todas"
"13","Minas Gerais",10564,"2015","Dezembro","Todas"
"14","Paraná",5782,"2015","Dezembro","Todas"
"15","Paraíba",1529,"2015","Dezembro","Todas"
"16","Pará",690,"2015","Dezembro","Todas"
"17","Pernambuco",3079,"2015","Dezembro","Todas"
"18","Piauí",237,"2015","Dezembro","Todas"
"19","Rio Grande do Norte",466,"2015","Dezembro","Todas"
"20","Rio Grande do Sul",2524,"2015","Dezembro","Todas"
"21","Rio de Janeiro",1582,"2015","Dezembro","Todas"
"22","Rondônia",562,"2015","Dezembro","Todas"
"23","Roraima",54,"2015","Dezembro","Todas"
"24","Santa Catarina",2127,"2015","Dezembro","Todas"
"25","Sergipe",1031,"2015","Dezembro","Todas"
"26","São Paulo",22873,"2015","Dezembro","Todas"
"27","Tocantins",246,"2015","Dezembro","Todas"
