"","Estado","Registros","Ano","Mês","Região"
"1","Acre",253,"2016","Agosto","Todas"
"2","Alagoas",1101,"2016","Agosto","Todas"
"3","Amapá",195,"2016","Agosto","Todas"
"4","Amazonas",219,"2016","Agosto","Todas"
"5","Bahia",2786,"2016","Agosto","Todas"
"6","Ceará",2468,"2016","Agosto","Todas"
"7","Distrito Federal",1188,"2016","Agosto","Todas"
"8","Espírito Santo",2066,"2016","Agosto","Todas"
"9","Goiás",2327,"2016","Agosto","Todas"
"10","Maranhão",490,"2016","Agosto","Todas"
"11","Mato Grosso",1408,"2016","Agosto","Todas"
"12","Mato Grosso do Sul",1254,"2016","Agosto","Todas"
"13","Minas Gerais",12211,"2016","Agosto","Todas"
"14","Paraná",7061,"2016","Agosto","Todas"
"15","Paraíba",1796,"2016","Agosto","Todas"
"16","Pará",1100,"2016","Agosto","Todas"
"17","Pernambuco",4589,"2016","Agosto","Todas"
"18","Piauí",656,"2016","Agosto","Todas"
"19","Rio Grande do Norte",757,"2016","Agosto","Todas"
"20","Rio Grande do Sul",4132,"2016","Agosto","Todas"
"21","Rio de Janeiro",2945,"2016","Agosto","Todas"
"22","Rondônia",684,"2016","Agosto","Todas"
"23","Roraima",187,"2016","Agosto","Todas"
"24","Santa Catarina",3256,"2016","Agosto","Todas"
"25","Sergipe",1120,"2016","Agosto","Todas"
"26","São Paulo",27216,"2016","Agosto","Todas"
"27","Tocantins",370,"2016","Agosto","Todas"
