"","Estado","Registros","Ano","Mês","Região"
"1","Acre",212,"2015","Agosto","Todas"
"2","Alagoas",453,"2015","Agosto","Todas"
"3","Amapá",179,"2015","Agosto","Todas"
"4","Amazonas",146,"2015","Agosto","Todas"
"5","Bahia",2172,"2015","Agosto","Todas"
"6","Ceará",714,"2015","Agosto","Todas"
"7","Distrito Federal",1158,"2015","Agosto","Todas"
"8","Espírito Santo",1943,"2015","Agosto","Todas"
"9","Goiás",1985,"2015","Agosto","Todas"
"10","Maranhão",137,"2015","Agosto","Todas"
"11","Mato Grosso",1273,"2015","Agosto","Todas"
"12","Mato Grosso do Sul",680,"2015","Agosto","Todas"
"13","Minas Gerais",10039,"2015","Agosto","Todas"
"14","Paraná",6421,"2015","Agosto","Todas"
"15","Paraíba",1546,"2015","Agosto","Todas"
"16","Pará",315,"2015","Agosto","Todas"
"17","Pernambuco",4474,"2015","Agosto","Todas"
"18","Piauí",218,"2015","Agosto","Todas"
"19","Rio Grande do Norte",287,"2015","Agosto","Todas"
"20","Rio Grande do Sul",4066,"2015","Agosto","Todas"
"21","Rio de Janeiro",1797,"2015","Agosto","Todas"
"22","Rondônia",457,"2015","Agosto","Todas"
"23","Roraima",80,"2015","Agosto","Todas"
"24","Santa Catarina",2589,"2015","Agosto","Todas"
"25","Sergipe",900,"2015","Agosto","Todas"
"26","São Paulo",23291,"2015","Agosto","Todas"
"27","Tocantins",269,"2015","Agosto","Todas"
