"","Estado","Registros","Ano","Mês","Região"
"1","Acre",349,"2018","Outubro","Todas"
"2","Alagoas",1311,"2018","Outubro","Todas"
"3","Amapá",265,"2018","Outubro","Todas"
"4","Amazonas",371,"2018","Outubro","Todas"
"5","Bahia",5500,"2018","Outubro","Todas"
"6","Ceará",3492,"2018","Outubro","Todas"
"7","Distrito Federal",1190,"2018","Outubro","Todas"
"8","Espírito Santo",2011,"2018","Outubro","Todas"
"9","Goiás",2765,"2018","Outubro","Todas"
"10","Maranhão",1430,"2018","Outubro","Todas"
"11","Mato Grosso",1204,"2018","Outubro","Todas"
"12","Mato Grosso do Sul",1292,"2018","Outubro","Todas"
"13","Minas Gerais",10725,"2018","Outubro","Todas"
"14","Paraná",5821,"2018","Outubro","Todas"
"15","Paraíba",2292,"2018","Outubro","Todas"
"16","Pará",1364,"2018","Outubro","Todas"
"17","Pernambuco",5064,"2018","Outubro","Todas"
"18","Piauí",1111,"2018","Outubro","Todas"
"19","Rio Grande do Norte",1064,"2018","Outubro","Todas"
"20","Rio Grande do Sul",6586,"2018","Outubro","Todas"
"21","Rio de Janeiro",10733,"2018","Outubro","Todas"
"22","Rondônia",481,"2018","Outubro","Todas"
"23","Roraima",235,"2018","Outubro","Todas"
"24","Santa Catarina",3458,"2018","Outubro","Todas"
"25","Sergipe",1190,"2018","Outubro","Todas"
"26","São Paulo",25730,"2018","Outubro","Todas"
"27","Tocantins",535,"2018","Outubro","Todas"
