"","Estado","Registros","Ano","Mês","Região"
"1","Acre",287,"2017","Junho","Todas"
"2","Alagoas",1173,"2017","Junho","Todas"
"3","Amapá",214,"2017","Junho","Todas"
"4","Amazonas",375,"2017","Junho","Todas"
"5","Bahia",3442,"2017","Junho","Todas"
"6","Ceará",3224,"2017","Junho","Todas"
"7","Distrito Federal",1215,"2017","Junho","Todas"
"8","Espírito Santo",2120,"2017","Junho","Todas"
"9","Goiás",2338,"2017","Junho","Todas"
"10","Maranhão",428,"2017","Junho","Todas"
"11","Mato Grosso",1355,"2017","Junho","Todas"
"12","Mato Grosso do Sul",1363,"2017","Junho","Todas"
"13","Minas Gerais",12185,"2017","Junho","Todas"
"14","Paraná",6588,"2017","Junho","Todas"
"15","Paraíba",1861,"2017","Junho","Todas"
"16","Pará",953,"2017","Junho","Todas"
"17","Pernambuco",5109,"2017","Junho","Todas"
"18","Piauí",477,"2017","Junho","Todas"
"19","Rio Grande do Norte",847,"2017","Junho","Todas"
"20","Rio Grande do Sul",4942,"2017","Junho","Todas"
"21","Rio de Janeiro",2750,"2017","Junho","Todas"
"22","Rondônia",683,"2017","Junho","Todas"
"23","Roraima",177,"2017","Junho","Todas"
"24","Santa Catarina",3379,"2017","Junho","Todas"
"25","Sergipe",1006,"2017","Junho","Todas"
"26","São Paulo",26286,"2017","Junho","Todas"
"27","Tocantins",381,"2017","Junho","Todas"
