"","Estado","Registros","Ano","Mês","Região"
"1","Acre",153,"2016","Março","Todas"
"2","Alagoas",934,"2016","Março","Todas"
"3","Amapá",195,"2016","Março","Todas"
"4","Amazonas",187,"2016","Março","Todas"
"5","Bahia",3443,"2016","Março","Todas"
"6","Ceará",2465,"2016","Março","Todas"
"7","Distrito Federal",1221,"2016","Março","Todas"
"8","Espírito Santo",1973,"2016","Março","Todas"
"9","Goiás",2142,"2016","Março","Todas"
"10","Maranhão",396,"2016","Março","Todas"
"11","Mato Grosso",1168,"2016","Março","Todas"
"12","Mato Grosso do Sul",1186,"2016","Março","Todas"
"13","Minas Gerais",11264,"2016","Março","Todas"
"14","Paraná",6136,"2016","Março","Todas"
"15","Paraíba",2317,"2016","Março","Todas"
"16","Pará",1173,"2016","Março","Todas"
"17","Pernambuco",6343,"2016","Março","Todas"
"18","Piauí",517,"2016","Março","Todas"
"19","Rio Grande do Norte",898,"2016","Março","Todas"
"20","Rio Grande do Sul",3153,"2016","Março","Todas"
"21","Rio de Janeiro",2920,"2016","Março","Todas"
"22","Rondônia",662,"2016","Março","Todas"
"23","Roraima",150,"2016","Março","Todas"
"24","Santa Catarina",2580,"2016","Março","Todas"
"25","Sergipe",1188,"2016","Março","Todas"
"26","São Paulo",25232,"2016","Março","Todas"
"27","Tocantins",364,"2016","Março","Todas"
