"","Estado","Registros","Ano","Mês","Região"
"1","Acre",393,"2018","Julho","Todas"
"2","Alagoas",1521,"2018","Julho","Todas"
"3","Amapá",207,"2018","Julho","Todas"
"4","Amazonas",756,"2018","Julho","Todas"
"5","Bahia",5530,"2018","Julho","Todas"
"6","Ceará",3376,"2018","Julho","Todas"
"7","Distrito Federal",1210,"2018","Julho","Todas"
"8","Espírito Santo",2212,"2018","Julho","Todas"
"9","Goiás",2666,"2018","Julho","Todas"
"10","Maranhão",1184,"2018","Julho","Todas"
"11","Mato Grosso",1394,"2018","Julho","Todas"
"12","Mato Grosso do Sul",1484,"2018","Julho","Todas"
"13","Minas Gerais",12448,"2018","Julho","Todas"
"14","Paraná",7451,"2018","Julho","Todas"
"15","Paraíba",2345,"2018","Julho","Todas"
"16","Pará",1552,"2018","Julho","Todas"
"17","Pernambuco",5387,"2018","Julho","Todas"
"18","Piauí",727,"2018","Julho","Todas"
"19","Rio Grande do Norte",1166,"2018","Julho","Todas"
"20","Rio Grande do Sul",8362,"2018","Julho","Todas"
"21","Rio de Janeiro",4571,"2018","Julho","Todas"
"22","Rondônia",714,"2018","Julho","Todas"
"23","Roraima",206,"2018","Julho","Todas"
"24","Santa Catarina",4024,"2018","Julho","Todas"
"25","Sergipe",1114,"2018","Julho","Todas"
"26","São Paulo",28511,"2018","Julho","Todas"
"27","Tocantins",532,"2018","Julho","Todas"
