"","Estado","Registros","Ano","Mês","Região"
"1","Acre",209,"2015","Fevereiro","Todas"
"2","Alagoas",341,"2015","Fevereiro","Todas"
"3","Amapá",127,"2015","Fevereiro","Todas"
"4","Amazonas",320,"2015","Fevereiro","Todas"
"5","Bahia",2007,"2015","Fevereiro","Todas"
"6","Ceará",496,"2015","Fevereiro","Todas"
"7","Distrito Federal",1081,"2015","Fevereiro","Todas"
"8","Espírito Santo",1802,"2015","Fevereiro","Todas"
"9","Goiás",1659,"2015","Fevereiro","Todas"
"10","Maranhão",172,"2015","Fevereiro","Todas"
"11","Mato Grosso",1176,"2015","Fevereiro","Todas"
"12","Mato Grosso do Sul",492,"2015","Fevereiro","Todas"
"13","Minas Gerais",8014,"2015","Fevereiro","Todas"
"14","Paraná",5080,"2015","Fevereiro","Todas"
"15","Paraíba",1369,"2015","Fevereiro","Todas"
"16","Pará",264,"2015","Fevereiro","Todas"
"17","Pernambuco",4423,"2015","Fevereiro","Todas"
"18","Piauí",139,"2015","Fevereiro","Todas"
"19","Rio Grande do Norte",256,"2015","Fevereiro","Todas"
"20","Rio Grande do Sul",2293,"2015","Fevereiro","Todas"
"21","Rio de Janeiro",916,"2015","Fevereiro","Todas"
"22","Rondônia",335,"2015","Fevereiro","Todas"
"23","Roraima",60,"2015","Fevereiro","Todas"
"24","Santa Catarina",2113,"2015","Fevereiro","Todas"
"25","Sergipe",811,"2015","Fevereiro","Todas"
"26","São Paulo",20337,"2015","Fevereiro","Todas"
"27","Tocantins",207,"2015","Fevereiro","Todas"
