"","Estado","Registros","Ano","Mês","Região"
"1","Acre",333,"2019","Novembro","Todas"
"2","Alagoas",1433,"2019","Novembro","Todas"
"3","Amapá",258,"2019","Novembro","Todas"
"4","Amazonas",1067,"2019","Novembro","Todas"
"5","Bahia",5332,"2019","Novembro","Todas"
"6","Ceará",3286,"2019","Novembro","Todas"
"7","Distrito Federal",1167,"2019","Novembro","Todas"
"8","Espírito Santo",1919,"2019","Novembro","Todas"
"9","Goiás",2545,"2019","Novembro","Todas"
"10","Maranhão",1459,"2019","Novembro","Todas"
"11","Mato Grosso",1112,"2019","Novembro","Todas"
"12","Mato Grosso do Sul",1246,"2019","Novembro","Todas"
"13","Minas Gerais",9160,"2019","Novembro","Todas"
"14","Paraná",5509,"2019","Novembro","Todas"
"15","Paraíba",2110,"2019","Novembro","Todas"
"16","Pará",1947,"2019","Novembro","Todas"
"17","Pernambuco",4921,"2019","Novembro","Todas"
"18","Piauí",1167,"2019","Novembro","Todas"
"19","Rio Grande do Norte",1242,"2019","Novembro","Todas"
"20","Rio Grande do Sul",6978,"2019","Novembro","Todas"
"21","Rio de Janeiro",10253,"2019","Novembro","Todas"
"22","Rondônia",645,"2019","Novembro","Todas"
"23","Roraima",200,"2019","Novembro","Todas"
"24","Santa Catarina",3236,"2019","Novembro","Todas"
"25","Sergipe",897,"2019","Novembro","Todas"
"26","São Paulo",23677,"2019","Novembro","Todas"
"27","Tocantins",480,"2019","Novembro","Todas"
