"","Estado","Registros","Ano","Mês","Região"
"1","Acre",207,"2015","Setembro","Todas"
"2","Alagoas",724,"2015","Setembro","Todas"
"3","Amapá",195,"2015","Setembro","Todas"
"4","Amazonas",137,"2015","Setembro","Todas"
"5","Bahia",2495,"2015","Setembro","Todas"
"6","Ceará",755,"2015","Setembro","Todas"
"7","Distrito Federal",1093,"2015","Setembro","Todas"
"8","Espírito Santo",1845,"2015","Setembro","Todas"
"9","Goiás",1899,"2015","Setembro","Todas"
"10","Maranhão",122,"2015","Setembro","Todas"
"11","Mato Grosso",1345,"2015","Setembro","Todas"
"12","Mato Grosso do Sul",653,"2015","Setembro","Todas"
"13","Minas Gerais",10277,"2015","Setembro","Todas"
"14","Paraná",6406,"2015","Setembro","Todas"
"15","Paraíba",1424,"2015","Setembro","Todas"
"16","Pará",327,"2015","Setembro","Todas"
"17","Pernambuco",4289,"2015","Setembro","Todas"
"18","Piauí",236,"2015","Setembro","Todas"
"19","Rio Grande do Norte",225,"2015","Setembro","Todas"
"20","Rio Grande do Sul",2519,"2015","Setembro","Todas"
"21","Rio de Janeiro",733,"2015","Setembro","Todas"
"22","Rondônia",520,"2015","Setembro","Todas"
"23","Roraima",67,"2015","Setembro","Todas"
"24","Santa Catarina",2536,"2015","Setembro","Todas"
"25","Sergipe",872,"2015","Setembro","Todas"
"26","São Paulo",24300,"2015","Setembro","Todas"
"27","Tocantins",245,"2015","Setembro","Todas"
