"","Estado","Registros","Ano","Mês","Região"
"1","Acre",294,"2020","Abril","Todas"
"2","Alagoas",1381,"2020","Abril","Todas"
"3","Amapá",114,"2020","Abril","Todas"
"4","Amazonas",2826,"2020","Abril","Todas"
"5","Bahia",5055,"2020","Abril","Todas"
"6","Ceará",4270,"2020","Abril","Todas"
"7","Distrito Federal",1166,"2020","Abril","Todas"
"8","Espírito Santo",2071,"2020","Abril","Todas"
"9","Goiás",2576,"2020","Abril","Todas"
"10","Maranhão",2145,"2020","Abril","Todas"
"11","Mato Grosso",1039,"2020","Abril","Todas"
"12","Mato Grosso do Sul",1223,"2020","Abril","Todas"
"13","Minas Gerais",10075,"2020","Abril","Todas"
"14","Paraná",5736,"2020","Abril","Todas"
"15","Paraíba",2076,"2020","Abril","Todas"
"16","Pará",2635,"2020","Abril","Todas"
"17","Pernambuco",6162,"2020","Abril","Todas"
"18","Piauí",1204,"2020","Abril","Todas"
"19","Rio Grande do Norte",1375,"2020","Abril","Todas"
"20","Rio Grande do Sul",6678,"2020","Abril","Todas"
"21","Rio de Janeiro",14051,"2020","Abril","Todas"
"22","Rondônia",679,"2020","Abril","Todas"
"23","Roraima",194,"2020","Abril","Todas"
"24","Santa Catarina",3518,"2020","Abril","Todas"
"25","Sergipe",1017,"2020","Abril","Todas"
"26","São Paulo",27919,"2020","Abril","Todas"
"27","Tocantins",466,"2020","Abril","Todas"
