"","Estado","Registros","Ano","Mês","Região"
"1","Acre",371,"2020","Janeiro","Todas"
"2","Alagoas",1543,"2020","Janeiro","Todas"
"3","Amapá",247,"2020","Janeiro","Todas"
"4","Amazonas",1315,"2020","Janeiro","Todas"
"5","Bahia",6092,"2020","Janeiro","Todas"
"6","Ceará",3585,"2020","Janeiro","Todas"
"7","Distrito Federal",1245,"2020","Janeiro","Todas"
"8","Espírito Santo",2158,"2020","Janeiro","Todas"
"9","Goiás",2819,"2020","Janeiro","Todas"
"10","Maranhão",1894,"2020","Janeiro","Todas"
"11","Mato Grosso",1151,"2020","Janeiro","Todas"
"12","Mato Grosso do Sul",1266,"2020","Janeiro","Todas"
"13","Minas Gerais",10889,"2020","Janeiro","Todas"
"14","Paraná",5740,"2020","Janeiro","Todas"
"15","Paraíba",2237,"2020","Janeiro","Todas"
"16","Pará",2318,"2020","Janeiro","Todas"
"17","Pernambuco",5362,"2020","Janeiro","Todas"
"18","Piauí",1115,"2020","Janeiro","Todas"
"19","Rio Grande do Norte",1385,"2020","Janeiro","Todas"
"20","Rio Grande do Sul",7464,"2020","Janeiro","Todas"
"21","Rio de Janeiro",11048,"2020","Janeiro","Todas"
"22","Rondônia",458,"2020","Janeiro","Todas"
"23","Roraima",213,"2020","Janeiro","Todas"
"24","Santa Catarina",3714,"2020","Janeiro","Todas"
"25","Sergipe",1074,"2020","Janeiro","Todas"
"26","São Paulo",28434,"2020","Janeiro","Todas"
"27","Tocantins",560,"2020","Janeiro","Todas"
